coin,market_class,underlying,period,target_price,market_name,trades,traders,volume,avg_px
#4020,,,,0,,63,19,21440.06939,0.7575866666666667
#2560,,,,0,,560,47,21362.13814996,0.37123324371428573
#9161,,,,0,,217,28,21338.08156,0.5494352995391705
#7021,,,,0,,67,11,20999.85278,0.8195325373134328
#7860,,,,0,,318,35,20990.25489,0.8250229559748428
#7060,,,,0,,320,30,20988.97764,0.47683340625000004
#3351,,,,0,,498,20,20980.79533,0.32459628514056227
#4660,,,,0,,398,28,20897.98446,0.6076922864321608
#8901,,,,0,,228,27,20796.24413,0.5655724561403509
#1611,,,,0,Outcome 161,690,26,20777.06035,0.5336708985507246
#640,priceBucket,BTC,1d,0,Recurring Named Outcome,2208,41,20756.55471792,0.11276126754528985
#7071,,,,0,,285,23,20704.66673,0.6082130175438597
#3121,,,,0,,213,40,20633.36653,0.5134060093896714
#7471,,,,0,,433,9,20632.04106,0.9843129561200924
#5551,,,,0,,262,14,20474.54657,0.5429467175572519
#4261,,,,0,,243,21,20451.36451,0.5450729629629629
#531,priceBucket,BTC,1d,0,Recurring Named Outcome,684,29,20270.62959,0.31581372807017544
#6401,,,,0,,132,25,20250.31136,0.36433166666666666
#931,priceBucket,BTC,1d,0,Recurring Named Outcome,639,27,20228.69564,0.2848782316118936
#5621,,,,0,,380,15,20133.63627,0.8960866315789474
#1030,named,,,0,Above 4.3%,3328,71,20056.60185506,0.27853204625
#3511,,,,0,,62,16,19989.05157,0.757283064516129
#2550,,,,0,,509,47,19907.94292996,0.5791056119449902
#1291,priceBucket,BTC,1d,0,Recurring Named Outcome,400,27,19904.00663,0.256565075
#7070,,,,0,,318,22,19837.55458,0.4216972012578616
#7341,,,,0,,159,9,19761.92778,0.9831991823899371
#910,priceBucket,BTC,1d,0,Recurring Fallback,856,8,19721.41652596,0.31960669503504674
#1270,priceBucket,BTC,1d,0,Recurring Fallback,291,6,19719.66650661,0.32187857673539516
#7671,,,,0,,166,10,19629.23945,0.8060192168674699
#8060,,,,0,,322,27,19496.04626,0.6130480434782608
#8161,,,,0,,305,31,19425.96521,0.44853711475409835
#8761,,,,0,,183,17,19401.81009,0.5823237158469946
#970,priceBucket,BTC,1d,0,Recurring Named Outcome,1096,38,19317.64293227,0.18971005136861313
#7691,,,,0,,123,10,19311.76592,0.8012439024390243
#1241,priceBucket,BTC,1d,0,Recurring Named Outcome,561,27,19255.45094,0.2684754010695187
#4301,,,,0,,191,23,19230.92512,0.6363941884816754
#260,priceBucket,BTC,1d,0,Recurring Fallback,290,7,19173.16651029,0.31465516982758623
#7140,,,,0,,315,20,19139.06052,0.6383400317460317
#1510,priceBucket,BTC,1d,0,Recurring Named Outcome,516,56,19116.81943951,0.4333474028100775
#160,priceBucket,BTC,1d,0,Recurring Fallback,285,4,19115.91651141,0.3146198804561403
#1250,priceBucket,BTC,1d,0,Recurring Named Outcome,949,39,19094.68666478,0.1472308108113804
#681,priceBucket,BTC,1d,0,Recurring Named Outcome,304,24,19083.61046,0.2973632894736842
#2230,,,,0,Outcome 223,440,61,19042.75265838,0.5474782796818182
#9641,,,,0,,239,16,19041.00401,0.24315786610878662
#1560,priceBucket,BTC,1d,0,Recurring Named Outcome,902,46,18974.57963982,0.3351551438691796
#6830,,,,0,,526,26,18971.74195,0.5155111026615969
#6641,,,,0,,151,16,18581.83839,0.881542251655629
#8101,,,,0,,480,7,18526.50567,0.9846207291666667
#4310,,,,0,,281,42,18448.46197725,0.5656541514590748
#7080,,,,0,,576,29,18402.12826,0.2889963541666667
#3030,,,,0,,115,34,18401.79532739,0.4241143474782609
#3151,,,,0,,103,15,18375.38416,0.8312907766990292
#6871,,,,0,,91,14,18294.77998,0.8239928571428572
